Course,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27
AFR 103 (HIS)**,1,0,1,0,1,0,1,0
AFR 165Â (HIS)**,1,0,1,0,1,0,0,0
AFR 222**,0,1,0,1,0,1,0,1
AFR 242 (HIS),0,1,0,0,0,0,0,0
AFR 245Â (HIS),0,1,0,0,0,0,0,0
AFR 255,0,1,0,1,0,1,0,1
AFR 350**,0,1,0,1,0,1,0,1
AFR 356Â (HIS),0,0,1,0,0,0,1,0
AFR 450**,1,0,1,0,1,0,1,0
