Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28
AFR 103 (HIS)**,0,1,0,1,0,1,0,1,0,1,0,0,0
AFR 165 (HIS)**,0,1,0,1,0,1,0,1,0,0,0,0,0
AFR 222**,1,0,1,0,1,0,1,0,1,0,1,0,0
AFR 242 (HIS),1,0,0,0,1,0,0,0,0,0,0,0,0
AFR 245 (HIS),0,0,0,0,1,0,0,0,0,0,0,0,0
AFR 255,1,0,1,0,1,0,1,0,1,0,1,0,0
AFR 350**,0,0,1,0,1,0,1,0,1,0,1,0,0
AFR 356 (HIS),0,1,0,0,0,1,0,0,0,1,0,0,0
AFR 450**,0,1,0,1,0,1,0,1,0,1,0,0,0
