Course,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29,Fall 29,Spr 30
GEO 101,0,1,0,1,0,1,0,1,0
GEO 102*,0,0,0,0,0,0,0,0,0
GEO 200,0,1,0,0,0,1,0,0,0
GEO 201*,0,0,0,0,0,0,0,0,0
GEO 300,0,0,1,0,0,0,1,0,0
GEO 320,1,0,1,0,1,0,1,0,1
