Course,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
PSC 100**,1,1,1,1,1,1,1,1
PSC 110**,1,0,1,1,1,1,1,1
PSC 175,0,1,0,0,0,0,0,0
PSC 220**,0,1,0,1,0,1,0,1
PSC 235**,0,1,0,1,0,1,0,1
PSC 244,0,0,0,1,0,0,0,0
PSC 250**,1,0,1,0,1,0,1,0
PSC 314,0,0,0,1,0,0,0,0
PSC 317,1,0,0,0,0,1,0,0
PSC 319,0,0,1,0,0,0,1,0
PSC 322,0,0,0,0,1,0,0,0
PSC 330,0,0,0,1,0,0,0,1
PSC 351,1,0,0,0,1,0,0,0
PSC 355,0,0,1,0,0,0,1,0
PSC 360** (ECO),0,1,0,1,0,0,0,1
PSC 480**,1,0,1,0,1,0,1,0
