Course,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29
CHI 101**,0,1,0,1,0,1,0
CHI 102**,1,0,1,0,1,0,1
CHI 103**,0,1,0,1,0,1,0
CHI 210,1,0,1,0,1,0,1
