Course,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
HLT 109,1,0,1,0,1,0
HLT 111,0,1,0,1,0,1
HLT 200,1,1,1,1,1,1
HLT 202,0,0,0,1,0,0
HLT 203,0,0,0,0,0,0
HLT 205,0,0,1,0,0,0
HLT 210 (APS),1,0,1,0,1,0
HLT 224,0,1,0,1,0,1
HLT 227 (PSY),0,1,0,1,0,1
HLT 236 (WGS),1,0,0,0,1,0
HLT 300,0,0,1,0,0,0
HLT 400,1,0,0,0,1,0
