Course,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29
NUR 110**,1,1,1,1,1,1,1,1
NUR 201,1,0,1,0,1,0,1,0
NUR 225,1,0,1,0,1,0,1,0
NUR 226,0,1,0,1,0,1,0,1
NUR 230,0,1,0,1,0,1,0,1
NUR 301,1,0,1,0,1,0,1,0
NUR 350**,0,1,0,1,0,1,0,1
NUR 351**,1,0,1,0,1,0,1,0
NUR 352**,1,0,1,0,1,0,1,0
NUR 355**,0,1,0,1,0,1,0,1
NUR 400,1,0,1,0,1,0,1,0
NUR 448**,1,0,1,0,1,0,1,0
NUR 449**,0,1,0,1,0,1,0,1
NUR 450**,0,1,0,1,0,1,0,1
